key,date,H/A,team,opp_team,pinnacle_line,pinnacle_odds,5dimes_line,5dimes_odds,heritage_line,heritage_odds,bovada_line,bovada_odds,betonline_line,betonline_odds,bet365_line,bet365_odds,bodog_line,bodog_odds
20090913_Miami_Atlanta,20090913,away,Miami,Atlanta,+4,-104,+4,-104,,,+4,-105,+4,-110,,,+4,-110
20090913_Miami_Atlanta,20090913,home,Atlanta,Miami,-4,-104,-4,-106,,,-4,-115,-4,-110,,,-4,-110
20090913_Kansas City_Baltimore,20090913,away,Kansas City,Baltimore,+13,-112,+12.5,-105,,,+13,-105,+13,-110,,,+13,-110
20090913_Kansas City_Baltimore,20090913,home,Baltimore,Kansas City,-13,+104,-12.5,-105,,,-13,-115,-13,-110,,,-13,-110
20090913_Philadelphia_Carolina,20090913,away,Philadelphia,Carolina,-1,-120,-2.5,-109,,,-3,+100,-2.5,-110,,,-2.5,-110
20090913_Philadelphia_Carolina,20090913,home,Carolina,Philadelphia,+1,+111,+2.5,-101,,,+3,-120,+2.5,-110,,,+2.5,-110
20090913_Denver_Cincinnati,20090913,away,Denver,Cincinnati,+4.5,-104,+5,-109,,,+5,-110,+5,-110,,,+4.5,-110
20090913_Denver_Cincinnati,20090913,home,Cincinnati,Denver,-4.5,-104,-5,-101,,,-5,-110,-5,-110,,,-4.5,-110
20090913_Minnesota_Cleveland,20090913,away,Minnesota,Cleveland,-4,-107,-4,-106,,,-5,-110,-4.5,-110,,,-4,-110
20090913_Minnesota_Cleveland,20090913,home,Cleveland,Minnesota,+4,-101,+4,-104,,,+5,-110,+4.5,-110,,,+4,-110
20090913_N.Y. Jets_Houston,20090913,away,N.Y. Jets,Houston,+4.5,-103,+4,-102,,,+5,-110,+4.5,-110,,,+4.5,-110
20090913_N.Y. Jets_Houston,20090913,home,Houston,N.Y. Jets,-4.5,-105,-4,-108,,,-5,-110,-4.5,-110,,,-4.5,-110
20090913_Detroit_New Orleans,20090913,away,Detroit,New Orleans,+14,-105,+14,-110,,,+14,-105,+14,-110,,,+14,-110
20090913_Detroit_New Orleans,20090913,home,New Orleans,Detroit,-14,-103,-14,+100,,,-14,-115,-14,-110,,,-14,-110
20090913_Dallas_Tampa Bay,20090913,away,Dallas,Tampa Bay,-4.5,+101,-5,-105,,,-6,-105,-5,-110,,,-5,-110
20090913_Dallas_Tampa Bay,20090913,home,Tampa Bay,Dallas,+4.5,-109,+5,-105,,,+6,-115,+5,-110,,,+5,-110
20090913_San Francisco_Arizona,20090913,away,San Francisco,Arizona,+5,-107,+5,-106,,,+6,-115,+5,-110,,,+4.5,-110
20090913_San Francisco_Arizona,20090913,home,Arizona,San Francisco,-5,-101,-5,-104,,,-6,-105,-5,-110,,,-4.5,-110
20090920_Los Angeles_Washington,20090920,away,Los Angeles,Washington,+10,-114,+9.5,+100,,,+10,-105,+9.5,-110,,,+10,-110
20090920_Los Angeles_Washington,20090920,home,Washington,Los Angeles,-10,+105,-9.5,-110,,,-10,-115,-9.5,-110,,,-10,-110
20090920_Arizona_Jacksonville,20090920,away,Arizona,Jacksonville,+3,-104,+3,-101,,,+3,-105,+3,-105,,,+3,-105
20090920_Arizona_Jacksonville,20090920,home,Jacksonville,Arizona,-3,-104,-3,-109,,,-3,-115,-3,-115,,,-3,-115
20090920_Minnesota_Detroit,20090920,away,Minnesota,Detroit,-10,+104,-9.5,-109,,,-10,-105,-9.5,-110,,,-10,-105
20090920_Minnesota_Detroit,20090920,home,Detroit,Minnesota,+10,-113,+9.5,-101,,,+10,-115,+9.5,-110,,,+10,-115
20090920_Tampa Bay_Buffalo,20090920,away,Tampa Bay,Buffalo,+4.5,-109,+3.5,-103,,,+4,-105,+4,-110,,,+3.5,-105
20090920_Tampa Bay_Buffalo,20090920,home,Buffalo,Tampa Bay,-4.5,+101,-3.5,-107,,,-4,-115,-4,-110,,,-3.5,-115
20090920_Seattle_San Francisco,20090920,away,Seattle,San Francisco,+1,-105,+1,-105,,,+1,-110,+1,-110,,,+1,-110
20090920_Seattle_San Francisco,20090920,home,San Francisco,Seattle,-1,-103,-1,-105,,,-1,-110,-1,-110,,,-1,-110
20090920_Pittsburgh_Chicago,20090920,away,Pittsburgh,Chicago,-1,-126,-2.5,-119,,,-3,-110,-2.5,-120,,,-3,+105
20090920_Pittsburgh_Chicago,20090920,home,Chicago,Pittsburgh,+1,+116,+2.5,+109,,,+3,-110,+2.5,+100,,,+3,-125
20090920_Baltimore_San Diego,20090920,away,Baltimore,San Diego,+3,-122,+1,-105,,,+3,-145,+1,-110,,,+1,-110
20090920_Baltimore_San Diego,20090920,home,San Diego,Baltimore,-3,+113,-1,-105,,,-3,+125,-1,-110,,,-1,-110
20090927_Cleveland_Baltimore,20090927,away,Cleveland,Baltimore,+13.5,-110,+13.5,-105,,,+14,-115,+13.5,-110,,,+13.5,-110
